N,P,K,temperature,humidity,ph,rainfall,soil_texture,crop_label
40.0,27.0,45.0,21.66,94.79,5.89,112.43,3.0,2.0
120.0,7.0,47.0,24.25,83.04,6.65,54.77,2.0,5.0
102.0,11.0,47.0,27.99,92.78,6.5,27.15,3.0,8.0
5.0,25.0,6.0,30.72,94.01,6.01,106.81,1.0,4.0
36.0,43.0,21.0,28.36,84.86,7.14,52.93,1.0,9.0
94.0,54.0,17.0,23.39,61.74,5.87,107.32,3.0,3.0
17.0,59.0,17.0,18.42,23.43,5.69,132.98,0.0,0.0
63.0,35.0,16.0,22.03,65.36,6.27,83.73,3.0,3.0
10.0,56.0,16.0,28.17,81.05,6.83,36.36,1.0,9.0
106.0,20.0,51.0,29.73,90.97,6.34,20.49,3.0,8.0
10.0,5.0,42.0,20.24,91.09,6.89,109.25,3.0,2.0
101.0,25.0,52.0,29.1,94.22,6.75,22.52,3.0,8.0
35.0,63.0,76.0,17.82,17.61,6.71,90.82,1.0,7.0
102.0,11.0,47.0,27.99,92.78,6.5,27.15,3.0,8.0
12.0,8.0,10.0,16.15,91.44,8.0,107.43,1.0,4.0
12.0,63.0,17.0,18.36,19.38,5.72,138.41,0.0,0.0
97.0,25.0,50.0,26.22,80.9,6.09,49.09,2.0,5.0
15.0,6.0,41.0,19.01,88.84,6.9,108.68,3.0,2.0
9.0,48.0,22.0,27.77,87.1,6.4,49.51,1.0,9.0
10.0,59.0,22.0,28.61,86.99,7.16,36.95,1.0,9.0
91.0,55.0,15.0,18.09,72.61,6.38,78.96,3.0,3.0
39.0,17.0,45.0,18.1,90.42,6.92,104.88,3.0,2.0
77.0,57.0,21.0,24.93,73.8,6.55,79.74,3.0,3.0
40.0,63.0,18.0,30.42,67.66,6.74,63.02,3.0,1.0
18.0,14.0,11.0,28.05,90.01,6.55,117.13,1.0,4.0
14.0,25.0,40.0,20.07,90.98,6.41,103.71,3.0,2.0
27.0,79.0,82.0,17.07,17.54,6.31,70.87,1.0,7.0
38.0,36.0,21.0,28.03,84.88,6.56,36.12,1.0,9.0
36.0,24.0,41.0,24.94,94.26,7.01,103.88,3.0,2.0
81.0,45.0,35.0,26.53,80.12,6.16,218.92,0.0,6.0
115.0,12.0,52.0,27.51,94.96,6.69,21.02,3.0,8.0
90.0,14.0,52.0,24.85,89.2,6.39,59.68,2.0,5.0
10.0,59.0,15.0,29.83,89.3,6.32,58.87,1.0,9.0
42.0,74.0,83.0,19.26,14.28,7.55,65.78,1.0,7.0
25.0,63.0,20.0,15.79,21.15,5.5,95.17,0.0,0.0
22.0,72.0,85.0,18.87,15.66,6.39,88.51,1.0,7.0
91.0,35.0,39.0,23.79,80.42,6.97,206.26,0.0,6.0
83.0,60.0,36.0,25.6,80.15,6.9,200.83,0.0,6.0
31.0,76.0,82.0,20.82,17.85,7.6,79.21,1.0,7.0
21.0,6.0,41.0,24.88,89.4,7.09,107.2,3.0,2.0
28.0,66.0,23.0,21.54,24.25,6.0,120.69,0.0,0.0
32.0,13.0,42.0,23.5,92.98,5.79,106.62,3.0,2.0
42.0,61.0,22.0,26.27,62.29,7.42,70.23,3.0,1.0
41.0,62.0,15.0,29.38,64.15,7.36,65.24,3.0,1.0
25.0,68.0,77.0,20.09,15.11,7.7,85.75,1.0,7.0
82.0,23.0,49.0,26.81,87.22,6.87,51.7,2.0,5.0
36.0,55.0,20.0,27.01,84.34,6.64,55.3,1.0,9.0
56.0,79.0,15.0,29.48,63.2,7.45,71.89,3.0,1.0
76.0,48.0,18.0,19.3,69.63,5.78,83.21,3.0,3.0
39.0,76.0,76.0,19.97,15.57,6.14,69.16,1.0,7.0
50.0,74.0,17.0,27.1,63.36,6.54,73.85,3.0,1.0
60.0,61.0,78.0,20.71,19.84,6.32,94.04,1.0,7.0
98.0,7.0,45.0,27.79,92.51,6.16,26.85,3.0,8.0
102.0,14.0,52.0,26.79,89.65,6.51,57.74,2.0,5.0
105.0,30.0,50.0,25.3,81.78,6.38,57.04,2.0,5.0
51.0,72.0,75.0,18.89,14.99,7.1,80.11,1.0,7.0
42.0,67.0,77.0,18.99,15.94,6.11,78.71,1.0,7.0
43.0,61.0,20.0,26.87,61.61,6.8,63.52,3.0,1.0
20.0,62.0,18.0,29.36,64.99,7.37,61.91,3.0,1.0
21.0,6.0,41.0,24.88,89.4,7.09,107.2,3.0,2.0
24.0,55.0,78.0,17.3,15.15,6.65,75.58,1.0,7.0
77.0,36.0,23.0,24.71,56.73,6.65,88.45,3.0,3.0
87.0,21.0,52.0,27.35,94.29,6.07,27.21,3.0,8.0
6.0,62.0,22.0,20.53,18.09,5.82,120.45,0.0,0.0
30.0,7.0,15.0,33.23,91.06,7.83,115.77,1.0,4.0
31.0,51.0,25.0,27.54,85.57,7.2,53.02,1.0,9.0
17.0,64.0,17.0,21.02,24.94,5.66,124.61,0.0,0.0
98.0,7.0,45.0,27.79,92.51,6.16,26.85,3.0,8.0
5.0,13.0,37.0,22.34,89.79,5.65,103.32,3.0,2.0
9.0,80.0,19.0,21.81,18.57,5.95,125.1,0.0,0.0
5.0,24.0,40.0,24.69,93.87,6.3,104.67,3.0,2.0
73.0,35.0,38.0,24.89,81.98,5.01,185.95,0.0,6.0
74.0,35.0,40.0,26.49,80.16,6.98,242.86,0.0,6.0
113.0,30.0,50.0,26.04,83.99,6.28,43.88,2.0,5.0
2.0,47.0,15.0,29.87,85.99,6.4,58.41,1.0,9.0
3.0,77.0,25.0,24.85,22.89,5.61,62.21,0.0,0.0
78.0,58.0,15.0,25.01,67.82,6.53,62.91,3.0,3.0
25.0,48.0,21.0,28.44,83.49,6.27,52.55,1.0,9.0
40.0,18.0,43.0,19.39,86.79,5.77,109.91,3.0,2.0
37.0,74.0,15.0,24.92,18.23,5.58,62.71,0.0,0.0
65.0,37.0,40.0,23.36,83.6,5.33,188.41,0.0,6.0
57.0,58.0,77.0,18.73,17.58,7.98,81.2,1.0,7.0
27.0,56.0,20.0,19.26,20.51,5.54,94.95,0.0,0.0
8.0,72.0,17.0,20.57,19.75,5.71,87.88,0.0,0.0
116.0,25.0,50.0,29.26,92.92,6.09,28.71,3.0,8.0
27.0,76.0,83.0,19.13,14.92,6.29,89.62,1.0,7.0
4.0,13.0,6.0,15.63,94.26,7.56,101.47,1.0,4.0
70.0,36.0,42.0,21.84,80.73,6.95,202.38,0.0,6.0
29.0,36.0,25.0,28.29,88.44,7.13,48.57,1.0,9.0
40.0,58.0,15.0,29.46,87.61,6.98,43.15,1.0,9.0
71.0,35.0,24.0,22.27,59.52,5.83,67.97,3.0,3.0
81.0,18.0,50.0,26.44,80.92,6.51,47.82,2.0,5.0
