,precision,recall,f1-score,support
apple,0.959,0.977,0.968,218.0
banana,0.971,0.988,0.979,240.0
blackgram,0.904,0.92,0.912,163.0
chickpea,0.989,0.989,0.989,174.0
coconut,0.95,0.975,0.962,118.0
coffee,0.882,0.876,0.879,137.0
cotton,0.887,0.953,0.919,148.0
grapes,0.976,0.963,0.969,214.0
jute,0.806,0.913,0.856,196.0
kidneybeans,0.97,0.97,0.97,230.0
lentil,0.92,0.866,0.892,119.0
maize,0.923,0.873,0.897,110.0
mango,0.968,0.931,0.949,130.0
mothbeans,0.856,0.856,0.856,111.0
mungbean,0.944,0.979,0.961,241.0
muskmelon,0.987,0.996,0.991,230.0
orange,0.964,0.968,0.966,248.0
papaya,0.929,0.935,0.932,168.0
pigeonpeas,0.957,0.944,0.951,234.0
pomegranate,0.99,0.935,0.962,217.0
rice,0.869,0.694,0.771,124.0
watermelon,0.993,0.986,0.989,282.0
accuracy,0.943,0.943,0.943,0.943
macro avg,0.936,0.931,0.933,4052.0
weighted avg,0.944,0.943,0.943,4052.0
