class,auc
mothbeans,0.9650886613586436
blackgram,0.9738124046587274
cotton,0.975197822053611
lentil,0.9775600552959552
jute,0.9784175469980525
maize,0.978870900788709
papaya,0.9836868900495317
pigeonpeas,0.9838266107909901
rice,0.9874618126272913
mango,0.9878309732083318
macro_avg,0.9879014263812126
micro_avg,0.9898260689817684
coconut,0.9910364230136232
apple,0.9925892425569386
grapes,0.9925906941407374
watermelon,0.9944518125552609
mungbean,0.9944863688971977
coffee,0.9947972891088925
banana,0.9951316019587267
pomegranate,0.9952114588527929
chickpea,0.9971123579520194
kidneybeans,0.9973938070211362
muskmelon,0.9975473801560758
orange,0.9997132687154439
